Sl. No.,State/UT,crime_2020,crime_2021,crime_2022,Mid-Year Projected Population (in Lakhs) (2022),Rate of Cognizable Crimes (IPC) (2022),Chargesheeting Rate (2022),avg_crime,crime_growth,crime_per_population
1,Andhra Pradesh,188997,179611,158547,530.3,299,86.5,175718,-30450,298.9760513
2,Arunachal Pradesh,2244,2626,2308,15.5,148.8,47.2,2392,64,148.9032258
3,Assam,111558,119883,59315,354.9,167.1,32.6,96918,-52243,167.1315864
4,Bihar,194698,186006,211079,1255.3,168.1,75.4,197261,16381,168.150243
5,Chhattisgarh,65216,70519,73822,299.5,246.5,80.4,69852,8606,246.4841402
6,Goa,3393,2099,2711,15.7,172.8,75.9,2734,-682,172.6751592
7,Gujarat,381849,273056,134600,709.3,189.8,89.8,263168,-247249,189.7645566
8,Haryana,103276,112720,125435,299.7,418.6,43.3,113810,22159,418.5352019
9,Himachal Pradesh,14803,13041,13231,74.4,177.8,82.9,13691,-1572,177.8360215
10,Jharkhand,51033,47684,48726,391.4,124.5,58.2,49147,-2307,124.4915687
11,Karnataka,106350,115728,129461,674.1,192.1,78.3,117179,23111,192.0501409
12,Kerala,149099,142643,235858,356.8,661,96,175866,86759,661.0369955
13,Madhya Pradesh,283881,304066,298578,858.9,347.6,86.6,295508,14697,347.6283619
14,Maharashtra,394017,367218,374038,1257.4,297.5,75.3,378424,-19979,297.4693813
15,Manipur,2349,2484,3029,32,94.6,10.4,2620,680,94.65625
16,Meghalaya,2871,2672,2914,33.3,87.6,26.9,2819,43,87.50750751
17,Mizoram,1787,2467,3587,12.3,291.6,58,2613,1800,291.6260163
18,Nagaland,1022,1033,1008,22.2,45.4,58,1021,-14,45.40540541
19,Odisha,108533,124956,143414,460.8,311.2,77.9,125634,34881,311.2282986
20,Punjab,49870,46454,43738,306,142.9,66.4,46687,-6132,142.9346405
21,Rajasthan,193279,214552,236090,804.4,293.5,49.8,214640,42811,293.4982596
22,Sikkim,504,532,549,6.8,80.3,55.5,528,45,80.73529412
23,Tamil Nadu,891700,322852,193913,767.1,252.8,70.7,469488,-697787,252.7871203
24,Telangana,135885,146131,151849,379.5,400.1,79.1,144621,15964,400.1291173
25,Tripura,4010,4133,3653,41.2,88.7,73.1,3932,-357,88.66504854
26,Uttar Pradesh,355110,357905,401787,2340.9,171.6,76.1,371600,46677,171.6378316
27,Uttarakhand,13812,15704,16967,115.6,146.8,71.5,15494,3155,146.7733564
28,West Bengal,158060,157498,156503,987.6,158.5,90.6,157353,-1557,158.4680032
29,Andaman and Nicobar Islands,482,386,460,4,114.4,83.9,442,-22,115
30,Chandigarh,2583,2401,2941,12.2,240.5,54.4,2641,358,241.0655738
31,Dadra and Nagar Haveli and Daman and Diu,441,490,1184,12,98.6,82.5,705,743,98.66666667
32,Delhi,249192,291904,300429,211,1424.1,30.2,280508,51237,1423.834123
33,Jammu and Kashmir,25233,27447,25915,135.4,191.4,77.1,26198,682,191.3958641
34,Ladakh,387,519,439,3,146.8,82.4,448,52,146.3333333
35,Lakshadweep,107,89,64,0.7,92.8,73.5,86,-43,91.42857143
36,Puducherry,6725,3851,3237,16.2,199.7,91.3,4604,-3488,199.8148148
